WORD ID,word,Frequency,CAT ID,LEVEL ID
811,tropas,22,1,L2
812,Una vez,22,9,L1
813,variedad,22,10,L2
814,velocidad,22,6,L2
815,acceso,21,5,L2
816,anteriores,21,9,L2
817,aquellos,21,15,L1
818,Asimismo,21,8,L3
819,baja,21,11,L2
820,bases,21,6,L2
821,campeón,21,4,L2
822,castillo,21,9,L2
823,clases,21,7,L1
824,colores,21,3,L1
825,combate,21,4,L2
826,curso,21,7,L2
827,detrás,21,10,L1
828,dicha,21,8,L3
829,económica,21,2,L2
830,edificios,21,10,L2
831,eje,21,6,L3
832,estableció,21,1,L2
833,evidencia,21,6,L3
834,fondo,21,2,L2
835,forman,21,12,L2
836,gobernador,21,1,L2
837,hora,21,15,L1
838,hubo,21,9,L1
839,imágenes,21,3,L2
840,ingresos,21,2,L3
841,libertad,21,12,L3
842,locales,21,13,L2
843,medidas,21,1,L2
844,nació,21,9,L1
845,Nueva York,21,13,L1
846,paz,21,1,L2
847,perdió,21,4,L1
848,propias,21,12,L2
849,publicación,21,3,L2
850,quienes,21,12,L1
851,sede,21,5,L3
852,territorio,21,10,L2
853,texto,21,7,L2
854,votos,21,1,L2
855,vuelve,21,13,L1
856,zonas,21,10,L2
857,zonas,21,10,L2
858,compañeros,20,5,L2
859,conseguir,20,5,L2
860,acción,0,2,L2
861,allí,0,13,L1
862,base,0,6,L2
863,compañía,0,5,L2
864,conocido,0,3,L2
865,creación,0,3,L3
866,cree,0,9,L2
867,dan,0,15,L1
868,diseño,0,6,L2
869,diversos,0,12,L2
870,edición,0,3,L2
871,escuela,0,7,L1
872,eso,0,12,L1
873,especialmente,0,12,L2
874,estructura,0,6,L3
875,Europa,0,10,L1
876,fase,0,6,L3
877,fuente,0,6,L2
878,información,0,6,L2
879,isla,0,10,L1
880,Italia,0,13,L1
881,John,0,3,L1
882,José,0,9,L1
883,lado,0,13,L1
884,libro,0,3,L1
885,libros,0,3,L1
886,lleva,0,13,L2
887,lucha,0,12,L2
888,Madrid,0,1,L1
889,mayores,0,12,L2
890,nacional,0,1,L2
891,países,0,1,L2
892,partido,0,4,L2
893,periodo,0,2,L2
894,persona,0,11,L1
895,Perú,0,13,L1
896,primero,0,4,L1
897,proyecto,0,5,L2
898,pudo,0,9,L2
899,pues,0,12,L1
900,río,0,10,L1
901,Santa,0,9,L1
902,sería,0,1,L2
903,siempre,0,9,L1
904,social,0,12,L2
905,televisión,0,3,L2
906,todavía,0,9,L1
907,trata,0,8,L2
908,última,0,14,L2
909,único,0,6,L2
910,Unido,0,1,L2
911,volvió,0,9,L2
